TypeError: A() got an unexpected keyword argument B<sep>model = DecisionTreeRegressor(maxdeepth=3)	maxdeepthはスペルミス<sep>max_depth=...に直す
TypeError: A is an invalid key<sep>X = df[[column],'低所得率']  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
ValueError: could not convert string to float: A<sep>X=float(input())	このデータはそのまま処理できない<sep>文字列を数値に変えるデータ前処理を行う
ImportError: cannot import name A from B C<sep>from C import MLPRegressor	import元が異なる<sep>from sklearn.neural_network import MLPRegressorでimportする
NameError: name A is not defined<sep>print(A)	変数ansgdが見つからない<sep>ansgd=...のように定義する
AttributeError: A object has no attribute B<sep>print(n.replace('1', 'X').replace('9', '1').replace('X', '9'))	リストXは置き変えられない<sep>Xをまだ使ってない文字に変える
NameError: name A is not defined<sep>(A) == b	変数Aが見つからない<sep>A=...のように定義する
AttributeError: A object has no attribute B<sep>l=print(str(m.replace('1','9')))	一度に使用できません<sep>printとstr変換を変える
"NameError: name A is not defined<sep>round(""n"" ,A)"	変数Aが見つからない<sep>A=...のように定義する
TypeError: not all arguments converted during string formatting<sep>if N%10==2 and N%10==4 and N%10==5 and N%10==7 and N%10==9:	Nが文字列になっている<sep>N=int(N) のようにNを数値型に変換する
AttributeError: A object has no attribute B<sep>ss.B(chr(a))	ssは文字列のためBできない<sep>ssをリスト型にするまたは、ss+追加したい文字列にする
NameError: name A is not defined<sep>A	変数Aが見つからない<sep>A=...のように定義する
ValueError: Found input variables with inconsistent numbers of samples: A<sep>print('R2(テスト):', r2_score(y_train, y_pred))	y_trainとy_predのデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: Found input variables with inconsistent numbers of samples: A<sep>model.fit(X, y)	Xとyのデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: invalid literal for A() with base B: C<sep>A,B=map(int,input().split())	入力にint型ではなく、文字列が含まれている<sep>入力データ見直す
ValueError: invalid literal for A() with base B: C<sep>A,B=map(int,input().split())	区切り文字の設定が','になっていない<sep>map(int,input().split())をmap(int,input().split(','))に直す
"KeyError: ""A not in index""<sep>X = df[['低所得率','','交通']]  # ひとつ選ぶ"	指定した列''が見つからない<sep>列名'に直す
NameError: name A is not defined<sep>A(X_train_pr_name)	データフレームを忘れている<sep>データフレーム名.A()にする
TypeError: unsupported operand type(s) for -: A and B<sep>df.columns -1	B型とint型の減算はできない<sep>df.columnの型を見直し数値型にする
AttributeError: type object A has no attribute B<sep>if B.startsWith('er'):	B.startswithのスペルが違う<sep>B.startswithに直す
ValueError: num must be A <= num <= B, not C<sep>plt.subplot(4,4,i+1)	subplotで17は存在しない<sep>1からCになるようにする
TypeError: A not supported between instances of B and C<sep>if X C100:	str型とint型で比較演算子は使えない<sep>型を揃えて比較する
"KeyError: ""A not in index""<sep>X = df[['weather_num','A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ModuleNotFoundError: No module named A<sep>from A.metrics import r2_score	Aという名前のモジュールが見つからない<sep>モジュールの名前を確認する、もしくはモジュールをimportする
AttributeError: A object has no attribute B<sep>df.head()	dfが整数型になっている<sep>pd.DataFrameやpd.read_csvを用いて、データフレーム型にする
ValueError: could not convert string to float: A<sep>model.fit(X, y)	文字列を数値に変えないと処理できない<sep>文字列を数値に変えるデータ前処理を行う
"ValueError: Found input variables with inconsistent numbers of samples: A<sep>print(""MSE: "", mean_squared_error(y_test, y_pred))"	y_testとy_predのデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: A object has no property B<sep>plt.scatter(df['部屋数'], df['住宅価格'],alph=0.5)	alphaのスペルが違う<sep>alphをalphaに直す
TypeError: A not supported between instances of B and C<sep>if NC10:	str型とint型で比較演算子は使えない<sep>型を揃えて比較する
TypeError: can't multiply sequence by non-int of type A<sep>print(int(A * B))	A型変数は掛け算できない<sep>変数A,Bどちらも数値型にする
AttributeError: A object has no attribute B<sep>r2 = max.B(y, y_pred)	必要ないmaxが付いている<sep>max.B(y,y_pred)をB(y,y_pred)に直す
TypeError: A object is not subscriptable<sep>if str(X[-3])<=4:	A型に添字は使えない<sep>それぞれの型を見直す
NameError: name A is not defined<sep>a=ord(A)+N	変数Aが見つからない<sep>A=...のように定義する
TypeError: list indices must be integers or slices, not str<sep>X = df[['week_num'],['weather_num'],['temperature']['kcal']]	列名を複数指定する書き方が違う<sep>X = df[['week_num','weather_num','temperature','kcal']] に直す
TypeError: A is an invalid key<sep>X = df[[column],[column]]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
ValueError: invalid literal for A() with base B: C<sep>print(int(X)+1)	'C’はint型に変換できない<sep>int(X)をfloat(X)に直す
KeyError: A<sep>df['A'].value_counts()	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: A object is not callable<sep>if S(2)==S(3) or S(4)==S(5):	文字列のindexは()で指定できない<sep>文字列[指定したindex]にする
TypeError: A() got an unexpected keyword argument B<sep>model = GradientBoostingRegressor(random_dtate=0)	random_dtateはスペルミス<sep>random_state=...に直す
NameError: name A is not defined<sep>s,t=map(A,input().split())	strのスペルが違う<sep>strのように直す
TypeError: unsupported operand type(s) for -: A and B<sep>r=B(0*(4-N))	int型とB型の減算はできない<sep>Nの型を数値型にする
NameError: name A is not defined<sep>A_zero = A.zfill(4)	変数Aが見つからない<sep>A=...のように定義する
KeyError: (A, B)<sep>X = df['通勤', 'B']  # 説明変数	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: A not supported between instances of B and C<sep>while maCw:	list型とint型で比較演算子は使えない<sep>型を揃えて比較する
NameError: name A is not defined<sep>mean_list_all = A(sample_list, df_keys['keys'])	Aが見つからない<sep>Aのスペルの確認やA=...で定義する
KeyError: A<sep>df.groupby('天気')['y'].median()	データフレームdfに列'y'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>A=str(A)	変数Aが見つからない<sep>A=...のように定義する
KeyError: A<sep>df['week'] = df['A']	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"ValueError: Length mismatch: Expected axis has A elements, new values have B elements<sep>df_uid_pr.columns = [""uid"", 'a', 'b', 'c', 'd', 'e', 'f', 'g','h','i','j']"	元のデータフレームは8列だけど与えられた要素はB個ある<sep>要素をB個にしよう
"KeyError: ""None of A are in the B""<sep>X = df[['川辺']] #一つ選ぶ"	データフレームdfに列'川辺'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of A are in the B""<sep>X = df[['犯罪']]  # ひとつ選ぶ"	データフレームdfに列'犯罪'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv(""B"")"	Bが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<sep>A.append(chr(a))	リスト型の変数Aが見つからない<sep>A=...のように定義する
"AttributeError: A object has no attribute B<sep>df_2[""datetime""].B('%Y%m%d')"	SeriesではBは使えない<sep>形を見直す
TypeError: A() got an unexpected keyword argument B<sep>plt.figure(figureSize=(6,6))	figureSizeではグラフのサイズを指定できない<sep>plt.figure(figsize=...)に直す
TypeError: A not supported between instances of B and C<sep>if 0<=N<10:	int型とC型で比較演算子は使えない<sep>型を揃えて比較する
NameError: name A is not defined<sep>X = df[[A]]  # 説明変数	変数Aが見つからない<sep>Aを定義するまたはcolumnに直す
NameError: name A is not defined<sep>A(X.shape)	printのスペルが違う<sep>printに直す
ValueError: invalid literal for A() with base B: C<sep>X,Y=map(int,input().split())	区切り文字の設定が','になっていない<sep>map(int,input().split())をmap(int,input().split(',')に直す
NameError: name A is not defined<sep>X_train_pr_any = pd.DataFrame(A)	データフレームAが見つからない<sep>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""A not in index""<sep>X=df[['低所得率','A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<sep>X = df[['通勤','A']]  # ひとつ選ぶ"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>r2 = r2_score(A, A_pred)	変数Aが見つからない<sep>A=...のように定義する
KeyError: (A, B)<sep>X = df[column,'低所得率']  # ひとつ選ぶ	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: A is an invalid key<sep>X = df[['week'],['weatherr'],['kcal']]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>d	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
"KeyError: ""A not in index""<sep>X = df[['temperature','soldout','A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<sep>X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'event', 'payday', 'weather','A']]"	データフレームdf_trainに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<sep>df['precipitation'].B()	B() は列ではなくデータフレームに対して使う<sep>df.B() に直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>print('正解率(test)', model.score(A, y_test_c1_p))	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>X=A(N/2)	mathモジュールを使っていない<sep>import mathして、math.A()と書く
ImportError: cannot import name A from B C<sep>from C import GaussianProcessRegressor	import元が異なる<sep>from sklearn.gaussian_process import GaussianProcessRegressorでimportする
TypeError: unsupported operand type(s) for +=: A and B<sep>sum += n	sumは関数である<sep>変数名を変更する
KeyError: A<sep>df['A'].map({	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ValueError: Number of labels=A does not match number of samples=B<sep>model.fit(X_train, y_train)	X_trainとy_trainのデータの個数が異なる<sep>X_trainとy_trainの個数を揃える
ValueError: invalid literal for A() with base B: C<sep>s,t =map(int,input().split())	文字列'CSS'はint型に変換できない<sep>map(int,input().split())をmap(input().split())に直す
ValueError: Length mismatch: Expected axis has A elements, new values have B elements<sep>df_uid_all.columns = column_list	元のデータフレームは201列だけど与えられた要素はB個しかない<sep>要素を201個にしよう
TypeError: A() got an unexpected keyword argument B<sep>df_uid_all = df_uid_all.dropna(B=1)	axisのスペルが違う<sep>Bをaxisに直す
TypeError: A object is not callable<sep>a,b,h,m=map(A(),input().split())	Aの後ろは()がある<sep>map(A,input().split())にする
ImportError: cannot import name A from B C<sep>from C import RandomForestRegressor	import元が異なる<sep>from C import RandomForestRegressorでimportする
"FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv(""Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csv"")"	Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csv'が見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
UsageError: Cell magic A not found.<sep>get_ipython().run_cell_magic('atcder', 'https://atcoder.jp/contests/abc111/tasks/abc111_a', 'n = int(input())\nprint(1110 - n)')	%%atcoderのスペルが違う<sep>%%atcderを%%atcoderに直す
NameError: name A is not defined<sep>print(A.array(scores).mean())	Aのスペルミス<sep>npに直す
KeyError: A<sep>y = df['A']	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: A is an invalid key<sep>X = df[['築年'],['通勤']]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
NameError: name A is not defined<sep>print(A((S[0],S[-1])(S[1],S[0])))	"Aのコードが違う<sep>S.A(""A"",""a"").A(""B"",""b"")で置換する"
AttributeError: module A has no attribute B<sep>plt.B(figsize=(6,6))	plt.figureのスペルが違う<sep>plt.figureに直す
TypeError: unsupported operand type(s) for +: A and B<sep>print(0+[n])	intとBの加算はできない<sep>import numpy as npをし、[p]をnp.array(p)に変換する
ValueError: invalid literal for A() with base B: C<sep>A,B = int(input())	'C'はint型に変換できない<sep>int(input())をmap(int,input().split())に直す
NameError: name A is not defined<sep>X_train_c1_any_p, X_test_c1_any_p= train_test_split(A, test_size=0.3, random_state=0)	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>A.floor	Aモジュールをimportしていない<sep>import Aする
TypeError: A not supported between instances of B and C<sep>if N C 4:	str型とint型で比較演算子は使えない<sep>型を揃えて比較する
AttributeError: A object has no attribute B<sep>plot_tree(model, feature_names=X.columns, filled=True)	Bにplot_treeを使用できない<sep>modelを見直す
ValueError: could not convert string to float: A<sep>x=float(input())	このデータはそのまま処理できない<sep>文字列を数値に変えるデータ前処理を行う
AttributeError: A object has no property B<sep>plt.scatter(df['部屋数'], df['住宅価格'],alpa=0.5)	alphaのスペルが違う<sep>alpaをalphaに直す
TypeError: A object is not iterable<sep>for S in range:	range関数の範囲が指定されていない<sep>range(繰り返したい数 - 1)のようにする
NameError: name A is not defined<sep>A	日本語文を入力した<sep>日本語文を入力しない
NameError: name A is not defined<sep>df = A.read_csv('boston.csv')	pandasをAとしてimportしていない<sep>import pandas as A する
ValueError: invalid literal for A() with base B: C<sep>Y=int(X[XCfind('')+1])	C'はint型に変換できない<sep>int関数の引数を見直す
AttributeError: A object has no attribute B<sep>print(f'{column} 決定係数(R2):'.B)	Bの前に.がある<sep>.BをBに直す
ValueError: invalid literal for A() with base B: C<sep>z=int(input())	文字列'C'はint型に変換できない<sep>int(input())をinput()に直す
"KeyError: ""A not in index""<sep>X = df[['week','A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<sep>model.B	feautureのスペルが違う<sep>futureをfeautureに直す
KeyError: (A, B)<sep>X = df['部屋数','B']	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X_train, y_train)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
ValueError: invalid literal for A() with base B: C<sep>if int(a[j]) < P:	a[j]には複数の値が存在する<sep>intの中にを1つの引数にする
"KeyError: ""A not in index""<sep>X = df[['A', '工場']]  # 説明変数"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>for column An df.columns[A]:	変数Aが見つからない<sep>Aに値を代入する
NameError: name A is not defined<sep>N=A % 10	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>N=A.translate(n)	Aが見つからない<sep>A=...やスペルを確認する
TypeError: unsupported operand type(s) for %: A and B<sep>if B%A == 0:	A,BがA型になっている<sep>A, Bの型を数値型にする
"KeyError: ""A not in index""<sep>X = df[['犯罪率','A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
KeyError: (A, B)<sep>X = df['資産税','B']	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
KeyError: A<sep>df['A'] = df['A'].map({	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ValueError: could not convert string to float: A<sep>model.fit(X, y)	文字列を数値に変えないと処理できない<sep>文字列を数値に変えるデータ前処理を行う
UsageError: Cell magic A not found.<sep>get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc111/tasks/abc111_a', '', 'n=str(input())\nprint(n.replace(1,9))')	%%atcoderの使い方が違う<sep>%%atcoder<半角スペース><問題のURL> に直す
KeyError: A<sep>sns.kdeplot(df.groupby('性別').get_group('A')['G3'], shade = True, label = '男子学生')	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
FileNotFoundError: A No such file or directory: B<sep>pd.read_csv('B')	boston.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
ValueError: not enough values to unpack (expected A, got B)<sep>a,b,c,d = map(int, input().split())	入力した値を入れる変数はB個あるけど、実際には1個しか入力されていない<sep>入力をB個に増やすか、変数を1個に減らそう
KeyError: (A, B, C, D)<sep>X = df['soldout','kcal','D','temperature']	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
ImportError: cannot import name A from B C<sep>from sklearn.linear_model import C	import元が異なる<sep>from sklearn.neural_network import Cにimportする
ValueError: invalid literal for A() with base B: C<sep>a,b,c,d=map(int,input().split())	map関数を用いているが入力データが1つしかない<sep>4つの値を入力する
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
TypeError: Could not convert A B to numeric<sep>df['name'].mean()	列nameはmeanを求められない<sep>列nameの型を見直し、値に直すj
"ValueError: Found input variables with inconsistent numbers of samples: A<sep>print(""MSE: "", mean_squared_error(y, y_pred))"	yとy_predのデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
FileNotFoundError: A No such file or directory: B<sep>df = pd.read_csv('bento_train.csv')	bento_train.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<sep>A((data1_c2))	printのスペルが違う<sep>print()に直す
AttributeError: A object has no attribute B<sep>model.feature_importance_	featureとimportances_のスペルが違う<sep>featrueをfeatureに、importance_をimportances_に直す
TypeError: A is an invalid key<sep>X = df[A]  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
NameError: name A is not defined<sep>A	変数Aが見つからない<sep>A=...のように定義する
